Year,Month,Day,Hour,concrete_temp
2016,December,26,18,5.43
2016,December,26,19,5.25
2016,December,26,20,5.31
2016,December,26,21,5.96
2016,December,26,22,5.87
2016,December,26,23,5.75
2016,December,27,0,5.64
2016,December,27,1,4.61
2016,December,27,2,4.78
2016,December,27,3,4.48
2016,December,27,4,3.31
2016,December,27,5,2.92
2016,December,27,6,2.51
2016,December,27,7,1.93
2016,December,27,8,2.19
2016,December,27,9,3.72
2016,December,27,10,4.54
2016,December,27,11,6.17
2016,December,27,12,7.01
2016,December,27,13,6.96
2016,December,27,14,6.45
2016,December,27,15,6.09
2016,December,27,16,5.71
2016,December,27,17,5.1
2016,December,27,18,4.77
2016,December,27,19,3.93
2016,December,27,20,2.35
2016,December,27,21,1.79
2016,December,27,22,1.25
2016,December,27,23,1.08
2016,December,28,0,0.71
2016,December,28,1,0.6
2016,December,28,2,0.27
2016,December,28,3,0.11
2016,December,28,4,0.01
2016,December,28,5,0.19
2016,December,28,6,-0.06
2016,December,28,7,-0.21
2016,December,28,8,-0.03
2016,December,28,9,2.19
2016,December,28,10,6.11
2016,December,28,11,9.11
2016,December,28,12,9.73
2016,December,28,13,9.17
2016,December,28,14,7.18
2016,December,28,15,3.44
2016,December,28,16,1.35
2016,December,28,17,0.65
2016,December,28,18,0.25
2016,December,28,19,-0.12
2016,December,28,20,-0.41
2016,December,28,21,-0.9
2016,December,28,22,-0.98
2016,December,28,23,-1.16
2016,December,29,0,-1.33
2016,December,29,1,-1.76
2016,December,29,2,-1.71
2016,December,29,3,-1.6
2016,December,29,4,-2.21
2016,December,29,5,-2.46
2016,December,29,6,-2.37
2016,December,29,7,-1.62
2016,December,29,8,-0.81
2016,December,29,9,1.81
2016,December,29,10,6
2016,December,29,11,6.48
2016,December,29,12,5.12
2016,December,29,13,6.86
2016,December,29,14,6.74
2016,December,29,15,4.46
2016,December,29,16,3.74
2016,December,29,17,4.46
2016,December,29,18,4.74
2016,December,29,19,4.94
2016,December,29,20,5.14
2016,December,29,21,5.29
2016,December,29,22,5.35
2016,December,29,23,5.11
2016,December,30,0,5.71
2016,December,30,1,6.05
2016,December,30,2,6.13
2016,December,30,3,6.04
2016,December,30,4,5.84
2016,December,30,5,6.13
2016,December,30,6,6.35
2016,December,30,7,6.46
2016,December,30,8,6.57
2016,December,30,9,7.07
2016,December,30,10,7.48
2016,December,30,11,8.35
2016,December,30,12,8.38
2016,December,30,13,8.97
2016,December,30,14,8.73
2016,December,30,15,8.84
2016,December,30,16,8.86
2016,December,30,17,8.81
2016,December,30,18,8.77
2016,December,30,19,8.65
2016,December,30,20,8.79
2016,December,30,21,8.85
2016,December,30,22,8.9
2016,December,30,23,8.86
2016,December,31,0,8.82
2016,December,31,1,8.63
2016,December,31,2,8.86
2016,December,31,3,8.68
2016,December,31,4,8.49
2016,December,31,5,8.29
2016,December,31,6,8.28
2016,December,31,7,8.34
2016,December,31,8,8.27
2016,December,31,9,8.29
2016,December,31,10,8.46
2016,December,31,11,8.63
2016,December,31,12,8.84
2016,December,31,13,9.02
2016,December,31,14,8.85
2016,December,31,15,8.53
2016,December,31,16,8.37
2016,December,31,17,8.43
2016,December,31,18,8.41
2016,December,31,19,8.4
2016,December,31,20,8.46
2016,December,31,21,8.05
2016,December,31,22,7.64
2016,December,31,23,7.66
2017,January,1,0,7.65
2017,January,1,1,7.42
2017,January,1,2,6.21
2017,January,1,3,5.65
2017,January,1,4,5.37
2017,January,1,5,5.02
2017,January,1,6,4.39
2017,January,1,7,4.07
2017,January,1,8,3.77
2017,January,1,9,3.4
2017,January,1,10,2.96
2017,January,1,11,4.18
2017,January,1,12,6.78
2017,January,1,13,6.24
2017,January,1,14,4.96
2017,January,1,15,3.01
2017,January,1,16,2.5
2017,January,1,17,2.61
2017,January,1,18,1.87
2017,January,1,19,1.35
2017,January,1,20,0.97
2017,January,1,21,1.38
2017,January,1,22,1.51
2017,January,1,23,1.42
2017,January,2,0,1.14
2017,January,2,1,0.25
2017,January,2,2,-0.24
2017,January,2,3,-0.55
2017,January,2,4,-1.19
2017,January,2,5,-0.76
2017,January,2,6,-1.86
2017,January,2,7,-1.9
2017,January,2,8,-2.18
2017,January,2,9,0.52
2017,January,2,10,5.42
2017,January,2,11,8.63
2017,January,2,12,9.24
2017,January,2,13,8.42
2017,January,2,14,6.11
2017,January,2,15,2.65
2017,January,2,16,0.37
2017,January,2,17,-0.37
2017,January,2,18,-0.86
2017,January,2,19,-1.23
2017,January,2,20,-1.43
2017,January,2,21,-1.25
2017,January,2,22,-0.39
2017,January,2,23,0.69
2017,January,3,0,2.03
2017,January,3,1,3.61
2017,January,3,2,4.47
2017,January,3,3,4.88
2017,January,3,4,5.04
2017,January,3,5,5.12
2017,January,3,6,5
2017,January,3,7,5.04
2017,January,3,8,5.1
2017,January,3,9,5.4
2017,January,3,10,5.67
2017,January,3,11,5.95
2017,January,3,12,6.37
2017,January,3,13,6.26
2017,January,3,14,6.32
2017,January,3,15,6.32
2017,January,3,16,6.12
2017,January,3,17,6.13
2017,January,3,18,6.28
2017,January,3,19,6.36
2017,January,3,20,6.25
2017,January,3,21,6.4
2017,January,3,22,6.28
2017,January,3,23,6.22
2017,January,4,0,6.19
2017,January,4,1,6.28
2017,January,4,2,6.11
2017,January,4,3,5.73
2017,January,4,4,5.5
2017,January,4,5,4.85
2017,January,4,6,4.81
2017,January,4,7,4.11
2017,January,4,8,3.17
2017,January,4,9,4.37
2017,January,4,10,5.97
2017,January,4,11,7.92
2017,January,4,12,8.07
2017,January,4,13,7.31
2017,January,4,14,6.02
2017,January,4,15,2.96
2017,January,4,16,1.31
2017,January,4,17,0.31
2017,January,4,18,0.04
2017,January,4,19,-0.62
2017,January,4,20,-0.12
2017,January,4,21,0.18
2017,January,4,22,-1.24
2017,January,4,23,-1.87
2017,January,5,0,-2.19
2017,January,5,1,-2.24
2017,January,5,2,-1.51
2017,January,5,3,-1.23
2017,January,5,4,-2.04
2017,January,5,5,-2.78
2017,January,5,6,-2.83
2017,January,5,7,-2.82
2017,January,5,8,-2.93
2017,January,5,9,0.15
2017,January,5,10,4.58
2017,January,5,11,8.01
2017,January,5,12,9.13
2017,January,5,13,7.56
2017,January,5,14,5.25
2017,January,5,15,2.58
2017,January,5,16,0.76
2017,January,5,17,0.64
2017,January,5,18,0.33
2017,January,5,19,0.46
2017,January,5,20,1.27
2017,January,5,21,1.92
2017,January,5,22,2.38
2017,January,5,23,2.61
2017,January,6,0,2.86
2017,January,6,1,3.08
2017,January,6,2,3.09
2017,January,6,3,3.13
2017,January,6,4,3.19
2017,January,6,5,3.37
2017,January,6,6,3.16
2017,January,6,7,3.23
2017,January,6,8,3.33
2017,January,6,9,3.57
2017,January,6,10,3.84
2017,January,6,11,4.26
2017,January,6,12,4.67
2017,January,6,13,4.98
2017,January,6,14,5.31
2017,January,6,15,5.49
2017,January,6,16,5.66
2017,January,6,17,5.85
2017,January,6,18,6.15
2017,January,6,19,6.31
2017,January,6,20,6.34
