Year,Month,Day,Hour,Device_ID,Module_Key,OAT
2017,May,9,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.06
2017,May,9,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.14
2017,May,10,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,7.57
2017,May,10,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,7.16
2017,May,10,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,6.69
2017,May,10,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,6.4
2017,May,10,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,6.23
2017,May,10,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.83
2017,May,10,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.92
2017,May,10,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.94
2017,May,10,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,6.45
2017,May,10,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,7.83
2017,May,10,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.83
2017,May,10,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.07
2017,May,10,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.58
2017,May,10,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.36
2017,May,10,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.05
2017,May,10,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.66
2017,May,10,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.94
2017,May,10,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.22
2017,May,10,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.21
2017,May,10,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.06
2017,May,10,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.76
2017,May,10,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.54
2017,May,10,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.79
2017,May,10,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.11
2017,May,11,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.42
2017,May,11,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.15
2017,May,11,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.62
2017,May,11,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.44
2017,May,11,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.4
2017,May,11,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.4
2017,May,11,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.25
2017,May,11,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.18
2017,May,11,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.64
2017,May,11,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.98
2017,May,11,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.1
2017,May,11,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.78
2017,May,11,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.72
2017,May,11,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.57
2017,May,11,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,14.32
2017,May,11,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,14.94
2017,May,11,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,15.37
2017,May,11,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,15.59
2017,May,11,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,15.31
2017,May,11,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,14.7
2017,May,11,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.67
2017,May,11,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.55
2017,May,11,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.31
2017,May,11,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.22
2017,May,12,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.69
2017,May,12,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.49
2017,May,12,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.29
2017,May,12,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.14
2017,May,12,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.45
2017,May,12,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.78
2017,May,12,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.79
2017,May,12,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.72
2017,May,12,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.19
2017,May,12,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.46
2017,May,12,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.68
2017,May,12,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.39
2017,May,12,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.32
2017,May,12,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.42
2017,May,12,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.06
2017,May,12,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.6
2017,May,12,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.47
2017,May,12,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.58
2017,May,12,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.8
2017,May,12,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.9
2017,May,12,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.95
2017,May,12,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.65
2017,May,12,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.37
