Year,Month,Day,Hour,elec_consumption
2017,February,17,4,27
2017,February,17,5,29
2017,February,17,6,38
2017,February,17,7,57
2017,February,17,8,60
2017,February,17,9,78
2017,February,17,10,94
2017,February,17,11,99
2017,February,17,12,96
2017,February,17,13,99
2017,February,17,14,98
2017,February,17,15,100
2017,February,17,16,98
2017,February,17,17,91
2017,February,17,18,85
2017,February,17,19,73
2017,February,17,20,57
2017,February,17,21,54
2017,February,17,22,49
2017,February,17,23,42
2017,February,18,0,27
2017,February,18,1,29
2017,February,18,2,27
2017,February,18,3,27
2017,February,18,4,27
2017,February,18,5,25
2017,February,18,6,32
2017,February,18,7,41
2017,February,18,8,40
2017,February,18,9,42
2017,February,18,10,49
2017,February,18,11,50
2017,February,18,12,51
2017,February,18,13,56
2017,February,18,14,56
2017,February,18,15,63
2017,February,18,16,61
2017,February,18,17,54
2017,February,18,18,57
2017,February,18,19,58
2017,February,18,20,54
2017,February,18,21,55
2017,February,18,22,49
2017,February,18,23,46
2017,February,19,0,31
2017,February,19,1,33
2017,February,19,2,30
2017,February,19,3,29
2017,February,19,4,28
2017,February,19,5,27
2017,February,19,6,31
2017,February,19,7,40
2017,February,19,8,40
2017,February,19,9,40
2017,February,19,10,44
2017,February,19,11,49
2017,February,19,12,47
2017,February,19,13,53
2017,February,19,14,55
2017,February,19,15,55
2017,February,19,16,49
2017,February,19,17,49
2017,February,19,18,57
2017,February,19,19,51
2017,February,19,20,45
2017,February,19,21,44
2017,February,19,22,43
2017,February,19,23,39
2017,February,20,0,26
2017,February,20,1,25
2017,February,20,2,26
2017,February,20,3,23
2017,February,20,4,24
2017,February,20,5,25
2017,February,20,6,32
2017,February,20,7,52
2017,February,20,8,55
2017,February,20,9,76
2017,February,20,10,86
2017,February,20,11,101
2017,February,20,12,101
2017,February,20,13,103
2017,February,20,14,109
2017,February,20,15,105
2017,February,20,16,105
2017,February,20,17,100
2017,February,20,18,86
2017,February,20,19,81
2017,February,20,20,69
2017,February,20,21,60
2017,February,20,22,52
2017,February,20,23,42
2017,February,21,0,27
2017,February,21,1,27
2017,February,21,2,25
2017,February,21,3,25
2017,February,21,4,26
2017,February,21,5,26
2017,February,21,6,34
2017,February,21,7,53
2017,February,21,8,55
2017,February,21,9,70
2017,February,21,10,84
2017,February,21,11,93
2017,February,21,12,99
2017,February,21,13,105
2017,February,21,14,103
2017,February,21,15,105
2017,February,21,16,101
2017,February,21,17,95
2017,February,21,18,88
2017,February,21,19,82
2017,February,21,20,70
2017,February,21,21,65
2017,February,21,22,53
2017,February,21,23,44
2017,February,22,0,31
2017,February,22,1,29
2017,February,22,2,26
2017,February,22,3,25
2017,February,22,4,26
2017,February,22,5,26
2017,February,22,6,38
2017,February,22,7,55
2017,February,22,8,63
2017,February,22,9,78
2017,February,22,10,93
2017,February,22,11,97
2017,February,22,12,99
2017,February,22,13,102
2017,February,22,14,100
2017,February,22,15,98
2017,February,22,16,97
2017,February,22,17,92
2017,February,22,18,86
