,timestamp,id,metadata_id,consumption,meter_reading
34072,2016-12-01 19:00:00,9,102,43,5504410
34109,2016-12-01 21:00:00,13,102,33,5504568
34148,2016-12-01 23:00:00,17,102,25,5504693
34187,2016-12-02 01:00:00,21,102,15,5504771
34259,2016-12-01 20:30:00,12,102,34,5504534
34298,2016-12-01 22:30:00,16,102,28,5504665
34337,2016-12-02 00:30:00,20,102,17,5504754
34376,2016-12-02 02:30:00,24,102,14,5504813
34383,2016-12-02 03:00:00,25,102,13,5504827
34422,2016-12-02 05:00:00,29,102,14,5504883
34461,2016-12-02 07:00:00,33,102,23,5504949
34500,2016-12-02 09:00:00,37,102,35,5505058
34539,2016-12-02 11:00:00,41,102,48,5505224
34572,2016-12-02 04:30:00,28,102,15,5504868
34611,2016-12-02 06:30:00,32,102,20,5504929
34650,2016-12-02 08:30:00,36,102,33,5505025
34689,2016-12-02 10:30:00,40,102,46,5505178
34708,2016-12-02 11:30:00,42,102,50,5505272
34747,2016-12-02 13:30:00,46,102,49,5505467
34786,2016-12-02 15:30:00,50,102,48,5505661
34825,2016-12-02 17:30:00,54,102,45,5505857
34892,2016-12-02 13:00:00,45,102,45,5505422
34931,2016-12-02 15:00:00,49,102,49,5505612
34970,2016-12-02 17:00:00,53,102,47,5505810
35009,2016-12-02 19:00:00,57,102,35,5505984
35042,2016-12-02 12:30:00,44,102,51,5505371
35081,2016-12-02 14:30:00,48,102,48,5505564
35120,2016-12-02 16:30:00,52,102,52,5505758
35159,2016-12-02 18:30:00,56,102,41,5505943
35205,2016-12-02 21:00:00,61,102,26,5506115
35244,2016-12-02 23:00:00,65,102,26,5506218
35283,2016-12-03 01:00:00,69,102,15,5506299
35322,2016-12-03 03:00:00,73,102,14,5506358
35335,2016-12-02 19:30:00,58,102,36,5506019
35374,2016-12-02 21:30:00,62,102,27,5506141
35413,2016-12-02 23:30:00,66,102,23,5506244
35452,2016-12-03 01:30:00,70,102,15,5506314
35518,2016-12-03 05:00:00,77,102,14,5506412
35557,2016-12-03 07:00:00,81,102,23,5506477
35596,2016-12-03 09:00:00,85,102,21,5506566
35635,2016-12-03 11:00:00,89,102,22,5506651
35648,2016-12-03 03:30:00,74,102,13,5506372
35687,2016-12-03 05:30:00,78,102,13,5506426
35726,2016-12-03 07:30:00,82,102,21,5506500
35765,2016-12-03 09:30:00,86,102,21,5506587
35826,2016-12-02 20:30:00,60,102,30,5506085
35865,2016-12-02 22:30:00,64,102,25,5506193
35904,2016-12-03 00:30:00,68,102,16,5506283
35943,2016-12-03 02:30:00,72,102,14,5506344
35971,2016-12-01 10:00:00,1090,102,44,5503496
36001,2016-12-01 12:00:00,1094,102,51,5503685
36031,2016-12-01 14:00:00,1098,102,53,5503898
36063,2016-12-01 16:00:00,3,102,53,5504113
36099,2016-12-01 18:00:00,7,102,46,5504318
36145,2016-12-03 13:00:00,93,102,24,5506742
36184,2016-12-03 15:00:00,97,102,24,5506840
36223,2016-12-03 17:00:00,101,102,23,5506938
36262,2016-12-03 19:00:00,105,102,26,5507036
36296,2016-12-03 04:30:00,76,102,13,5506399
36335,2016-12-03 06:30:00,80,102,22,5506455
36374,2016-12-03 08:30:00,84,102,22,5506544
36413,2016-12-03 10:30:00,88,102,22,5506629
36432,2016-12-03 11:30:00,90,102,22,5506673
36471,2016-12-03 13:30:00,94,102,26,5506766
36510,2016-12-03 15:30:00,98,102,24,5506864
36549,2016-12-03 17:30:00,102,102,23,5506961
36606,2016-12-01 20:00:00,11,102,39,5504495
36645,2016-12-01 22:00:00,15,102,32,5504633
36684,2016-12-02 00:00:00,19,102,15,5504739
36723,2016-12-02 02:00:00,23,102,14,5504799
36772,2016-12-03 21:00:00,109,102,24,5507138
36811,2016-12-03 23:00:00,113,102,24,5507237
36850,2016-12-04 01:00:00,117,102,14,5507313
36889,2016-12-04 03:00:00,121,102,14,5507369
36902,2016-12-03 19:30:00,106,102,26,5507062
36941,2016-12-03 21:30:00,110,102,26,5507162
36980,2016-12-03 23:30:00,114,102,21,5507261
37019,2016-12-04 01:30:00,118,102,14,5507327
37085,2016-12-04 05:00:00,125,102,14,5507424
37124,2016-12-04 07:00:00,129,102,22,5507482
37163,2016-12-04 09:00:00,133,102,22,5507570
