,param_name,param_type,param_value,timestamp,device_id,module_key
822844,V,1,19.954586,2017-04-01 04:58:59.377000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
839645,V,1,20.287119,2017-04-03 20:38:59.740000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
857489,V,1,19.937084,2017-04-01 05:08:58.960000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
876608,V,1,20.759666,2017-04-05 13:09:01.163000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
888520,V,1,18.965738,2017-04-02 04:39:01.010000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
896578,V,1,20.287119,2017-04-03 20:49:00.383000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
896579,V,1,20.899679,2017-04-05 13:19:01.870000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
897618,V,1,19.919582,2017-04-01 05:18:59.253000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
918445,V,1,18.965738,2017-04-02 04:49:02.420000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
933354,V,1,19.902081,2017-04-01 05:28:59.033000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
935017,V,1,20.260864,2017-04-03 20:58:59.453000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
953024,V,1,19.867077,2017-04-01 05:49:00.240000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
953260,V,1,19.893332,2017-04-01 05:38:58.993000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
953261,V,1,21.004688,2017-04-05 13:29:01.183000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
982896,V,1,18.991991,2017-04-02 04:59:00.907000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
