Year,Month,Day,Hour,heat_consumption
2017,January,24,11,280
2017,January,24,12,266
2017,January,24,13,265
2017,January,24,14,278
2017,January,24,15,282
2017,January,24,16,284
2017,January,24,17,276
2017,January,24,18,258
2017,January,24,19,256
2017,January,24,20,261
2017,January,24,21,127
2017,January,27,7,424
2017,January,27,8,327
2017,January,27,9,323
2017,January,27,10,319
2017,January,27,11,302
2017,January,27,12,296
2017,January,27,13,296
2017,January,27,14,283
2017,January,27,15,276
2017,January,27,16,276
2017,January,27,17,286
2017,January,27,18,280
2017,January,27,19,261
2017,January,27,20,263
2017,January,27,21,261
2017,January,27,22,266
2017,January,27,23,213
2017,January,28,0,3
2017,January,28,1,3
2017,January,28,2,3
2017,January,28,3,2
2017,January,28,4,3
2017,January,28,5,2
2017,January,28,6,119
2017,January,28,7,429
2017,January,28,8,309
2017,January,28,9,285
2017,January,28,10,274
2017,January,28,11,269
2017,January,28,12,265
2017,January,28,13,263
2017,January,28,14,261
2017,January,28,15,267
2017,January,28,16,262
2017,January,28,17,263
2017,January,28,18,255
2017,January,28,19,261
2017,January,28,20,261
2017,January,28,21,260
2017,January,28,22,256
2017,January,28,23,207
2017,January,29,0,3
2017,January,29,1,4
2017,January,29,2,5
2017,January,29,3,4
2017,January,29,4,1
2017,January,29,5,4
2017,January,29,6,121
2017,February,2,7,408
2017,February,2,8,274
2017,February,2,9,237
2017,February,2,10,224
2017,February,2,11,217
2017,February,2,12,216
2017,February,2,13,213
2017,February,2,14,207
2017,February,2,15,199
2017,February,2,16,196
2017,February,2,17,195
2017,February,2,18,193
2017,February,2,19,194
2017,February,2,20,195
2017,February,2,21,198
2017,February,2,22,198
2017,February,2,23,159
2017,February,3,0,1
2017,February,3,1,4
2017,February,3,2,4
2017,February,3,3,4
2017,February,3,4,4
2017,February,3,5,1
2017,February,3,6,119
2017,February,3,7,410
2017,February,3,8,267
2017,February,3,9,233
2017,February,3,10,227
2017,February,3,11,222
2017,February,3,12,205
2017,February,3,13,206
2017,February,3,14,199
2017,February,3,15,204
2017,February,3,16,199
2017,February,3,17,202
2017,February,3,18,197
2017,February,3,19,205
2017,February,3,20,197
2017,February,3,21,198
2017,February,3,22,197
2017,February,3,23,160
2017,February,4,0,3
2017,February,4,1,3
2017,February,4,2,4
2017,February,4,3,2
2017,February,4,4,3
2017,February,4,5,1
2017,February,4,6,119
2017,February,4,7,418
2017,February,4,8,282
2017,February,4,9,253
2017,February,4,10,242
2017,February,4,11,240
2017,February,4,12,234
2017,February,4,13,240
2017,February,4,14,224
2017,February,4,15,218
2017,February,4,16,222
2017,February,4,17,212
2017,February,4,18,219
2017,February,4,19,222
2017,February,4,20,221
2017,February,4,21,221
2017,February,4,22,217
2017,February,4,23,174
2017,February,5,0,1
2017,February,5,1,3
2017,February,5,2,5
2017,February,5,3,3
2017,February,5,4,3
2017,February,5,5,4
2017,February,5,6,117
2017,February,5,7,413
2017,February,5,8,273
2017,February,5,9,238
2017,February,5,10,237
2017,February,5,11,230
2017,February,5,12,221
2017,February,5,13,222
2017,February,5,14,218
2017,February,5,15,225
2017,February,5,16,219
2017,February,5,17,217
2017,February,5,18,223
2017,February,5,19,220
2017,February,5,20,223
2017,February,5,21,222
2017,February,5,22,224
2017,February,5,23,182
2017,February,6,0,3
2017,February,6,1,4
2017,February,6,2,4
2017,February,6,3,3
2017,February,6,4,2
2017,February,6,5,4
2017,February,6,6,124
2017,February,6,7,423
2017,February,6,8,326
2017,February,6,9,284
2017,February,6,10,274
2017,February,6,11,278
2017,February,6,12,273
2017,February,6,13,269
2017,February,6,14,264
2017,February,6,15,262
2017,February,6,16,262
2017,February,6,17,263
2017,February,6,18,263
2017,February,6,19,241
2017,February,6,20,244
2017,February,6,21,243
2017,February,6,22,248
2017,February,6,23,196
2017,February,7,0,4
2017,February,7,1,5
2017,February,7,2,7
2017,February,7,3,7
2017,February,7,4,4
2017,February,7,5,2
2017,February,7,6,125
2017,February,7,7,432
2017,February,7,8,323
2017,February,7,9,286
2017,February,7,10,288
2017,February,7,11,277
2017,February,7,12,256
2017,February,7,13,245
2017,February,7,14,246
2017,February,7,15,239
2017,February,7,16,244
2017,February,7,17,252
2017,February,7,18,206
2017,February,7,19,2
2017,February,7,20,1
2017,February,7,21,3
2017,February,7,22,1
2017,February,7,23,1
2017,February,8,0,1
2017,February,8,1,2
2017,February,8,2,2
2017,February,8,3,0
2017,February,8,4,1
2017,February,8,5,0
2017,February,8,6,0
2017,February,10,7,313
2017,February,10,8,253
2017,February,10,9,274
2017,February,10,10,341
2017,February,10,11,313
2017,February,10,12,267
2017,February,10,13,245
2017,February,10,14,229
2017,February,10,15,229
2017,February,10,16,238
2017,February,10,17,241
2017,February,10,18,247
2017,February,10,19,274
2017,February,10,20,290
2017,February,10,21,283
2017,February,10,22,278
2017,February,10,23,243
2017,February,11,0,6
2017,February,11,1,11
2017,February,11,2,17
2017,February,11,3,21
2017,February,11,4,24
2017,February,11,5,148
2017,February,11,6,235
2017,February,11,7,308
2017,February,11,8,270
2017,February,11,9,251
2017,February,11,10,237
2017,February,11,11,247
2017,February,11,12,259
2017,February,11,13,275
2017,February,11,14,283
2017,February,11,15,285
2017,February,11,16,289
2017,February,11,17,288
2017,February,11,18,318
2017,February,11,19,284
2017,February,11,20,275
2017,February,11,21,280
2017,February,11,22,275
2017,February,11,23,246
2017,February,12,0,5
2017,February,12,1,2
2017,February,12,2,3
2017,February,12,3,1
2017,February,12,4,2
2017,February,12,5,2
2017,February,12,6,162
2017,February,12,7,433
2017,February,12,8,353
2017,February,12,9,327
2017,February,12,10,316
2017,February,12,11,302
2017,February,12,12,301
2017,February,12,13,301
2017,February,12,14,301
2017,February,12,15,294
