Year of Timestamp,Month of Timestamp,Day of Timestamp,Hour of Timestamp,elec_consumption
2017,February,14,14,50.5
2017,February,14,15,49.5
2017,February,14,16,49.5
2017,February,14,17,49.5
2017,February,14,18,46.5
2017,February,14,19,45.5
2017,February,14,20,37
2017,February,14,21,34.5
2017,February,14,22,30
2017,February,14,23,25.5
2017,February,15,0,17.5
2017,February,15,1,15
2017,February,15,2,14.5
2017,February,15,3,14
2017,February,15,4,14
2017,February,15,5,14
2017,February,15,6,19
2017,February,15,7,29
2017,February,15,8,32
2017,February,15,9,38.5
2017,February,15,10,44.5
2017,February,15,11,48.5
2017,February,15,12,49.5
2017,February,15,13,52
2017,February,15,14,50
2017,February,15,15,48.5
2017,February,15,16,51
2017,February,15,17,47.5
2017,February,15,18,42.5
2017,February,15,19,39.5
2017,February,15,20,33
2017,February,15,21,29
2017,February,15,22,30
2017,February,15,23,22.5
2017,February,16,0,15.5
2017,February,16,1,15
2017,February,16,2,15
2017,February,16,3,15
2017,February,16,4,14.5
2017,February,16,5,14
2017,February,16,6,19.5
2017,February,16,7,27
2017,February,16,8,32.5
2017,February,16,9,38
2017,February,16,10,45
2017,February,16,11,46
2017,February,16,12,47.5
2017,February,16,13,49.5
2017,February,16,14,50
2017,February,16,15,50
2017,February,16,16,48
2017,February,16,17,48.5
2017,February,16,18,45
2017,February,16,19,41
2017,February,16,20,36.5
2017,February,16,21,32.5
2017,February,16,22,29
2017,February,16,23,22.5
2017,February,17,0,15
2017,February,17,1,15.5
2017,February,17,2,15
2017,February,17,3,14
2017,February,17,4,13.5
2017,February,17,5,14.5
2017,February,17,6,19
2017,February,17,7,28.5
2017,February,17,8,30
2017,February,17,9,39
2017,February,17,10,47
2017,February,17,11,49.5
2017,February,17,12,48
2017,February,17,13,49.5
2017,February,17,14,49
2017,February,17,15,50
2017,February,17,16,49
2017,February,17,17,45.5
2017,February,17,18,42.5
2017,February,17,19,36.5
2017,February,17,20,28.5
2017,February,17,21,27
2017,February,17,22,24.5
2017,February,17,23,21
2017,February,18,0,13.5
2017,February,18,1,14.5
2017,February,18,2,13.5
